date,question,committee,project_id,responsible_actor,invited_presenters,theme
2025-05-14,Kviečiami dalyvauti:,Audito komitetas,,R.  JanušonienėJ.  RazmaE.  Šukytė,,Nėra
2025-05-14,"VĮ Turto bankas, Finansų minsiterijos atstovai",Audito komitetas,,R.  JanušonienėJ.  RazmaE.  Šukytė,,Valstybės saugumas ir gynyba
2025-05-14,Kiti klausimai:,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-05-14,1. Dėl pasirengimo svarstyti Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektą Nr. XVP-333;,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-05-14,2. Dėl kito komiteto posėdžio,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-05-07,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Sveikata
2025-05-07,"2025 m. balandžio 4 d. ataskaita Nr. VAE-2 „Finansinių priemonių (paskolų, garantijų, rizikos kapitalo investicijų) taikymas teikiant valstybės paramą“",Audito komitetas,,R.  JanušonienėJ.  RazmaA.  Buragienė,,Viešieji finansai
2025-05-07,Kviečiami dalyvauti:,Audito komitetas,,R.  JanušonienėJ.  RazmaA.  Buragienė,,Nėra
2025-05-07,"Energetikos, Ekonomikos ir inovacijų, Finansų, Krašto apsaugos, Kultūros,",Audito komitetas,,R.  JanušonienėJ.  RazmaA.  Buragienė,,Užsienio politika
2025-05-07,"Socialinės apsaugos ir darbo, Žemės ūkio ministerijų, Valstybės kontrolės, UAB",Audito komitetas,,R.  JanušonienėJ.  RazmaA.  Buragienė,,"Žemės ir maisto ūkis, kaimo plėtra ir žuvininkystė"
2025-05-07,VĮ Turto bankas 2024 m. veiklos ataskaitos ir kitos aktualios informacijos pristatymas,Audito komitetas,,A.  SkardžiusJ.  RazmaR.  JanušonienėK.  PodolskisV.  AleknaR.  VyžintasA.  ZuokasE.  ŠukytėD.  Keršienė,,Viešieji finansai
2025-05-07,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusJ.  RazmaR.  JanušonienėK.  PodolskisV.  AleknaR.  VyžintasA.  ZuokasE.  ŠukytėD.  Keršienė,,Nėra
2025-05-07,"VĮ Turto banko, Finansų ministerijos atstovai",Audito komitetas,,A.  SkardžiusJ.  RazmaR.  JanušonienėK.  PodolskisV.  AleknaR.  VyžintasA.  ZuokasE.  ŠukytėD.  Keršienė,,Viešieji finansai
2025-05-07,Kiti klausimai:,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-05-07,"1. Dėl pasirengimo svarstyti įstatymų projektus (projektų paketas Nr. XVP-312 – XVP-324, XVP-334, XVP-297);",Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,"Aplinka, miškai ir klimato kaita"
2025-05-07,2-4. Dėl valstybinio audito ataskaitų svarstymo ir kuratorių paskyrimo;,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-05-07,5. Dėl Europos Audito Rūmų narės L. L. Andrikienės kvietimo Audito ir Europos reikalų komitetų narių delegacijai lankytis Europos Audito Rūmuose;,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Viešieji finansai
2025-05-07,6. Dėl kito komiteto posėdžio,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-04-16,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Viešieji finansai
2025-04-16,2024 m. gruodžio 17 d. išorinių peržiūrų apibendrinimo ataskaita Nr. IPE-12 Savivaldybių kontrolės ir audito tarnybų atliktų auditų išorinių peržiūrų rezultatai (parlamentinė kontrolė),Audito komitetas,IPE-12,R.  JanušonienėJ.  RazmaD.  Andriūnaitė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-04-16,Kviečiami dalyvauti:,Audito komitetas,,R.  JanušonienėJ.  RazmaD.  Andriūnaitė,,Nėra
2025-04-16,"Valstybės kontrolės, Savivaldybių kontrolierių asociacijos atstovai",Audito komitetas,,R.  JanušonienėJ.  RazmaD.  Andriūnaitė,,Viešieji finansai
2025-04-16,"Dėl lėšų, skirtų institucijų veiklos viešinimui (parlamentinė kontrolė)",Audito komitetas,,A.  SkardžiusE.  Šukytė,,Viešieji finansai
2025-04-16,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusE.  Šukytė,,Nėra
2025-04-16,"Ekonomikos ir inovacijų, Finansų, Krašto",Audito komitetas,,A.  SkardžiusE.  Šukytė,,Neatpažinta tema
2025-04-16,"apsaugos, Kultūros, Socialinės apsaugos ir darbo, Sveikatos apsaugos, Švietimo",Audito komitetas,,A.  SkardžiusE.  Šukytė,,Socialinė apsauga ir užimtumas
2025-04-16,"mokslo ir sporto, Vidaus reikalų, Žemės ūkio ministerijų, Valstybės",Audito komitetas,,A.  SkardžiusE.  Šukytė,,"Švietimas, mokslas ir sportas"
2025-04-16,"skaitmeninių sprendimų agentūros, Vyriausybės kanceliarijos ir viešosios",Audito komitetas,,A.  SkardžiusE.  Šukytė,,Neatpažinta tema
2025-04-16,įstaigos „Lietuvos nacionalinis radijas ir televizija“atstovai,Audito komitetas,,A.  SkardžiusE.  Šukytė,,Transportas ir ryšiai
2025-04-16,Dėl pasirengimo svarstyti Seimo nutarimo „Dėl Irenos Segalovičienės skyrimo Lietuvos Respublikos valstybės kontroliere“ projektą Nr. XVP-311,Audito komitetas,XVP-311,A.  SkardžiusL.  Pranaitytė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-04-16,"Dėl asignavimų valdytojų išlaidų teisinėms paslaugoms (parlamentinė kontrolė, svarstymo tęsinys)",Audito komitetas,,A.  SkardžiusA.  ZuokasD.  AndriūnaitėL.  Pranaitytė,,Teisingumas
2025-04-16,Dėl kreipimųsi susijusių su Nacionalinės Lietuvos energetikos asociacijos veikla (parlamentinė kontrolė),Audito komitetas,,A.  SkardžiusD.  AndriūnaitėD.  Keršienė,,Energetika
2025-04-16,Kiti klausimai:,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-04-16,"1. Dėl 2025 m. balandžio 4 d. valstybinio audito ataskaita Nr. VAE-2 „Finansinių priemonių (paskolų, garantijų, rizikos kapitalo investicijų) taikymas teikiant valstybės paramą“ svarstymo ir kuratorių paskyrimo;",Audito komitetas,VAE-2,A.  SkardžiusL.  Pranaitytė,,Viešieji finansai
2025-04-16,2. Dėl Seimo nario A. Zuoko prašymo pritarti jo dalyvavimui Lietuvos Respublikos Seimo ir Lenkijos Respublikos Seimo ir Senato narių asamblėjos XXV sesijoje Varšuvoje (Lenkijos Respublika) 2025 m. birželio 5-7 dienomis;,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Užsienio politika
2025-04-16,3. Dėl kito komiteto posėdžio,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-04-09,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-04-09,Valstybės kontrolės 2024 m. veiklos ataskaita,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  Andriūnaitė,,Viešieji finansai
2025-04-09,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  Andriūnaitė,,Nėra
2025-04-09,​Valstybės kontrolės atstovai,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  Andriūnaitė,,Nėra
2025-04-09,Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektas,Audito komitetas,XVP-105,R.  JanušonienėA.  ZuokasA.  BuragienėD.  Keršienė,,Viešieji finansai
2025-04-09,Dėl asignavimų valdytojų išlaidų teisinėms paslaugoms,Audito komitetas,,A.  SkardžiusA.  ZuokasE.  ŠukytėD.  Andriūnaitė,,Teisingumas
2025-04-09,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusA.  ZuokasE.  ŠukytėD.  Andriūnaitė,,Nėra
2025-04-09,"Aplinkos, Ekonomikos ir inovacijų, Energetikos, Finansų,",Audito komitetas,,A.  SkardžiusA.  ZuokasE.  ŠukytėD.  Andriūnaitė,,Ekonomikos konkurencingumas ir valstybės informaciniai ištekliai
2025-04-09,"Kultūros,  Socialinės apsaugos ir darbo, Susisiekimo,",Audito komitetas,,A.  SkardžiusA.  ZuokasE.  ŠukytėD.  Andriūnaitė,,Transportas ir ryšiai
2025-04-09,"Teisingumo, ministerijų, Valstybės kontrolės, Viešųjų pirkimų tarnybos atstovai",Audito komitetas,,A.  SkardžiusA.  ZuokasE.  ŠukytėD.  Andriūnaitė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-04-09,Kiti klausimai:,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-04-09,1. Dėl pasirengimo svarstyti įstatymų projektus;,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-04-09,2. Dėl kito komiteto posėdžio,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-04-02,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-04-02,Lietuvos ekonominės raidos scenarijaus 2025–2028 m. ir Valstybės kontrolės išvados dėl jo pristatymas,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  Andriūnaitė,,Viešieji finansai
2025-04-02,Dėl antrojo jūros vėjo elektrinių parko projekto ekonominio pagrįstumo ir tolimesnės projekto eigos,Audito komitetas,,A.  SkardžiusD.  Andriūnaitė,,"Aplinka, miškai ir klimato kaita"
2025-04-02,"Dėl apibendrintų 2024 m. duomenų apie asignavimų valdytojų lėšų panaudojimą reprezentacijai, transportui, komandiruotėms, kvalifikacijai tobulinti, ekspertams ir darbo užmokesčiui",Audito komitetas,,A.  SkardžiusE.  Šukytė,,Užsienio politika
2025-04-02,Kiti klausimai:,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-04-02,1. Dėl 2025 m. kovo 19 valstybinio audito ataskaitos Nr. 4-2(RN) „Lietuvos kariuomenės personalo komplektavimo ir karo prievolės administravimas“ svarstymo ir kuratorių paskyrimo;,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Valstybės saugumas ir gynyba
2025-04-02,2. Dėl kito komiteto posėdžio,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-03-26,Uždaro posėdžio darbotvarkės tvirtinimas (,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Užsienio politika
2025-03-26,2025 m. vasario 14 d.vertinimo ataskaita „Gynybos biudžeto valdymo analizė“ (įslaptinta) (uždaras klausimas),Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasA.  BuragienėL.  Pranaitytė,,Valstybės saugumas ir gynyba
2025-03-26,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasA.  BuragienėL.  Pranaitytė,,Nėra
2025-03-26,"Krašto apsaugos ministerijos, Valstybės kontrolės atstovai",Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasA.  BuragienėL.  Pranaitytė,,Valstybės saugumas ir gynyba
2025-03-26,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Užsienio politika
2025-03-26,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI. 2025 m. Komisijos darbo programa",Audito komitetas,"ES-2025-13, COM/2025/45",A.  SkardžiusE.  Šukytė,,Neatpažinta tema
2025-03-26,Kviečiami dalyvauti:,Audito komitetas,"ES-2025-13, COM/2025/45",A.  SkardžiusE.  Šukytė,,Nėra
2025-03-26,"Europos Komisijos atstovybės Lietuvoje, Finansų ministerijos atstovai",Audito komitetas,"ES-2025-13, COM/2025/45",A.  SkardžiusE.  Šukytė,,Viešieji finansai
2025-03-26,2025 m. kovo 5 d. ataskaita Nr. RAE-4 „Rekomendacijų įgyvendinimo ataskaita“ (parlamentinė kontrolė),Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasA.  Buragienė,,Neatpažinta tema
2025-03-26,Kiti klausimai:,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-03-26,"1. Dėl Seimo nario V. Aleknos prašymo pritarti jo dalyvavimui Lietuvos Respublikos, Estijos Respublikos ir Latvijos Respublikos parlamentų narių krepšinio turnyre Baltijos Asamblėjos taurei laimėti 2025 m. balandžio 11-12 d. Ventspilyje (Latvijos Respublika).",Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Neatpažinta tema
2025-03-26,2. Dėl kito komiteto posėdžio.,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Viešasis saugumas
2025-03-19,Posėdžio darbotvarkės tvirtinimas,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-03-19,Seimo kanceliarijos Teisės departamento aktualios informacijos pristatymas,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasL.  Pranaitytė,,Teisingumas
2025-03-19,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasL.  Pranaitytė,,Nėra
2025-03-19,Seimo kanceliarijos Teisės departamento direktorius,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasL.  Pranaitytė,,Teisingumas
2025-03-19,2025 m. kovo 5 d. ataskaita Nr. RAE-4 „Rekomendacijų įgyvendinimo ataskaita“ (parlamentinė kontrolė),Audito komitetas,RAE-4,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasA.  Buragienė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-03-19,Kviečiami dalyvauti:,Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasA.  Buragienė,,Nėra
2025-03-19,"Aplinkos, Ekonomikos ir",Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasA.  Buragienė,,Nėra
2025-03-19,"inovacijų, Sveikatos apsaugos ministerijų, VĮ Registrų centro, Valstybės",Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasA.  Buragienė,,Sveikata
2025-03-19,"kontrolės, Vyriausybės kanceliarijos atstovai",Audito komitetas,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasA.  Buragienė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-03-19,"2024 m. gruodžio 23 d. valstybinio audito ataskaita Nr. VAE-11 „Prokuratūros išteklių valdymas organizuojant ikiteisminį tyrimą ir jam vadovaujant, palaikant valstybinį kaltinimą baudžiamosiose bylose“ (parlamentinė kontrolė)",Audito komitetas,VAE-11,K.  PodolskisA.  ZuokasE.  Šukytė,,"Valstybės valdymas, regioninė politika ir viešasis administravimas"
2025-03-19,Kviečiami dalyvauti:,Audito komitetas,,K.  PodolskisA.  ZuokasE.  Šukytė,,Nėra
2025-03-19,"Generalinės prokuratūros, Teisingumo",Audito komitetas,,K.  PodolskisA.  ZuokasE.  Šukytė,,Teisingumas
2025-03-19,"ministerijos,  Valstybės kontrolės",Audito komitetas,,K.  PodolskisA.  ZuokasE.  Šukytė,,Viešieji finansai
2025-03-19,2024 m. lapkričio 12 d. valstybinio audito ataskaita Nr. ATA-2 „VšĮ CPO LT veikla vykdant viešuosius pirkimus“ (parlamentinė kontrolė),Audito komitetas,ATA-2,V.  AleknaR.  JanušonienėK.  PodolskisD.  Andriūnaitė,,Viešieji finansai
2025-03-19,Dėl siūlymo Audito komitetui inicijuoti Konkurencijos įstatymo pakeitimus,Audito komitetas,,R.  JanušonienėA.  ZuokasE.  ŠukytėL.  Pranaitytė,,Neatpažinta tema
2025-03-19,Kiti klausimai:,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
2025-03-19,1.	Dėl pasirengimo svarstyti Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektą Nr. XVP-105;,Audito komitetas,XVP-105,A.  SkardžiusL.  Pranaitytė,,Neatpažinta tema
2025-03-19,2.	Dėl kito komiteto posėdžio,Audito komitetas,,A.  SkardžiusL.  Pranaitytė,,Nėra
