date,question,committee
2025-04-16,2024 m. gruodžio 17 d. išorinių peržiūrų apibendrinimo ataskaita Nr. IPE-12 Savivaldybių kontrolės ir audito tarnybų atliktų auditų išorinių peržiūrų rezultatai (parlamentinė kontrolė),Audito komitetas
2025-04-16,Kviečiami dalyvauti:,Audito komitetas
2025-04-16,"Valstybės kontrolės, Savivaldybių kontrolierių asociacijos atstovai",Audito komitetas
2025-04-16,"Dėl lėšų, skirtų institucijų veiklos viešinimui (parlamentinė kontrolė)",Audito komitetas
2025-04-16,Kviečiami dalyvauti:,Audito komitetas
2025-04-16,"Ekonomikos ir inovacijų, Finansų, Krašto",Audito komitetas
2025-04-16,"apsaugos, Kultūros, Socialinės apsaugos ir darbo, Sveikatos apsaugos, Švietimo",Audito komitetas
2025-04-16,"mokslo ir sporto, Vidaus reikalų, Žemės ūkio ministerijų, Valstybės",Audito komitetas
2025-04-16,"skaitmeninių sprendimų agentūros, Vyriausybės kanceliarijos ir viešosios",Audito komitetas
2025-04-16,įstaigos „Lietuvos nacionalinis radijas ir televizija“atstovai,Audito komitetas
2025-04-16,Dėl pasirengimo svarstyti Seimo nutarimo „Dėl Irenos Segalovičienės skyrimo Lietuvos Respublikos valstybės kontroliere“ projektą Nr. XVP-311,Audito komitetas
2025-04-16,"Dėl asignavimų valdytojų išlaidų teisinėms paslaugoms (parlamentinė kontrolė, svarstymo tęsinys)",Audito komitetas
2025-04-16,Dėl kreipimųsi susijusių su Nacionalinės Lietuvos energetikos asociacijos veikla (parlamentinė kontrolė),Audito komitetas
2025-04-16,Kiti klausimai:,Audito komitetas
2025-04-16,"1. Dėl 2025 m. balandžio 4 d. valstybinio audito ataskaita Nr. VAE-2 „Finansinių priemonių (paskolų, garantijų, rizikos kapitalo investicijų) taikymas teikiant valstybės paramą“ svarstymo ir kuratorių paskyrimo;",Audito komitetas
2025-04-16,2. Dėl Seimo nario A. Zuoko prašymo pritarti jo dalyvavimui Lietuvos Respublikos Seimo ir Lenkijos Respublikos Seimo ir Senato narių asamblėjos XXV sesijoje Varšuvoje (Lenkijos Respublika) 2025 m. birželio 5-7 dienomis;,Audito komitetas
2025-04-16,3. Dėl kito komiteto posėdžio,Audito komitetas
2025-04-09,Posėdžio darbotvarkės tvirtinimas,Audito komitetas
2025-04-09,Valstybės kontrolės 2024 m. veiklos ataskaita,Audito komitetas
2025-04-09,Kviečiami dalyvauti:,Audito komitetas
2025-04-09,​Valstybės kontrolės atstovai,Audito komitetas
2025-04-09,Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektas,Audito komitetas
2025-04-09,Dėl asignavimų valdytojų išlaidų teisinėms paslaugoms,Audito komitetas
2025-04-09,Kviečiami dalyvauti:,Audito komitetas
2025-04-09,"Aplinkos, Ekonomikos ir inovacijų, Energetikos, Finansų,",Audito komitetas
2025-04-09,"Kultūros,  Socialinės apsaugos ir darbo, Susisiekimo,",Audito komitetas
2025-04-09,"Teisingumo, ministerijų, Valstybės kontrolės, Viešųjų pirkimų tarnybos atstovai",Audito komitetas
2025-04-09,Kiti klausimai:,Audito komitetas
2025-04-09,1. Dėl pasirengimo svarstyti įstatymų projektus;,Audito komitetas
2025-04-09,2. Dėl kito komiteto posėdžio,Audito komitetas
2025-04-02,Posėdžio darbotvarkės tvirtinimas,Audito komitetas
2025-04-02,Lietuvos ekonominės raidos scenarijaus 2025–2028 m. ir Valstybės kontrolės išvados dėl jo pristatymas,Audito komitetas
2025-04-02,Dėl antrojo jūros vėjo elektrinių parko projekto ekonominio pagrįstumo ir tolimesnės projekto eigos,Audito komitetas
2025-04-02,"Dėl apibendrintų 2024 m. duomenų apie asignavimų valdytojų lėšų panaudojimą reprezentacijai, transportui, komandiruotėms, kvalifikacijai tobulinti, ekspertams ir darbo užmokesčiui",Audito komitetas
2025-04-02,Kiti klausimai:,Audito komitetas
2025-04-02,1. Dėl 2025 m. kovo 19 valstybinio audito ataskaitos Nr. 4-2(RN) „Lietuvos kariuomenės personalo komplektavimo ir karo prievolės administravimas“ svarstymo ir kuratorių paskyrimo;,Audito komitetas
2025-04-02,2. Dėl kito komiteto posėdžio,Audito komitetas
2025-03-26,Uždaro posėdžio darbotvarkės tvirtinimas (,Audito komitetas
2025-03-26,2025 m. vasario 14 d.vertinimo ataskaita „Gynybos biudžeto valdymo analizė“ (įslaptinta) (uždaras klausimas),Audito komitetas
2025-03-26,Kviečiami dalyvauti:,Audito komitetas
2025-03-26,"Krašto apsaugos ministerijos, Valstybės kontrolės atstovai",Audito komitetas
2025-03-26,Posėdžio darbotvarkės tvirtinimas,Audito komitetas
2025-03-26,"KOMISIJOS KOMUNIKATAS EUROPOS PARLAMENTUI, TARYBAI, EUROPOS EKONOMIKOS IR SOCIALINIŲ REIKALŲ KOMITETUI IR REGIONŲ KOMITETUI. 2025 m. Komisijos darbo programa",Audito komitetas
2025-03-26,Kviečiami dalyvauti:,Audito komitetas
2025-03-26,"Europos Komisijos atstovybės Lietuvoje, Finansų ministerijos atstovai",Audito komitetas
2025-03-26,2025 m. kovo 5 d. ataskaita Nr. RAE-4 „Rekomendacijų įgyvendinimo ataskaita“ (parlamentinė kontrolė),Audito komitetas
2025-03-26,Kiti klausimai:,Audito komitetas
2025-03-26,"1. Dėl Seimo nario V. Aleknos prašymo pritarti jo dalyvavimui Lietuvos Respublikos, Estijos Respublikos ir Latvijos Respublikos parlamentų narių krepšinio turnyre Baltijos Asamblėjos taurei laimėti 2025 m. balandžio 11-12 d. Ventspilyje (Latvijos Respublika).",Audito komitetas
2025-03-26,2. Dėl kito komiteto posėdžio.,Audito komitetas
2025-03-19,Posėdžio darbotvarkės tvirtinimas,Audito komitetas
2025-03-19,Seimo kanceliarijos Teisės departamento aktualios informacijos pristatymas,Audito komitetas
2025-03-19,Kviečiami dalyvauti:,Audito komitetas
2025-03-19,Seimo kanceliarijos Teisės departamento direktorius,Audito komitetas
2025-03-19,2025 m. kovo 5 d. ataskaita Nr. RAE-4 „Rekomendacijų įgyvendinimo ataskaita“ (parlamentinė kontrolė),Audito komitetas
2025-03-19,Kviečiami dalyvauti:,Audito komitetas
2025-03-19,"Aplinkos, Ekonomikos ir",Audito komitetas
2025-03-19,"inovacijų, Sveikatos apsaugos ministerijų, VĮ Registrų centro, Valstybės",Audito komitetas
2025-03-19,"kontrolės, Vyriausybės kanceliarijos atstovai",Audito komitetas
2025-03-19,"2024 m. gruodžio 23 d. valstybinio audito ataskaita Nr. VAE-11 „Prokuratūros išteklių valdymas organizuojant ikiteisminį tyrimą ir jam vadovaujant, palaikant valstybinį kaltinimą baudžiamosiose bylose“ (parlamentinė kontrolė)",Audito komitetas
2025-03-19,Kviečiami dalyvauti:,Audito komitetas
2025-03-19,"Generalinės prokuratūros, Teisingumo",Audito komitetas
2025-03-19,"ministerijos,  Valstybės kontrolės",Audito komitetas
2025-03-19,2024 m. lapkričio 12 d. valstybinio audito ataskaita Nr. ATA-2 „VšĮ CPO LT veikla vykdant viešuosius pirkimus“ (parlamentinė kontrolė),Audito komitetas
2025-03-19,Dėl siūlymo Audito komitetui inicijuoti Konkurencijos įstatymo pakeitimus,Audito komitetas
2025-03-19,Kiti klausimai:,Audito komitetas
2025-03-19,1.	Dėl pasirengimo svarstyti Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektą Nr. XVP-105;,Audito komitetas
2025-03-19,2.	Dėl kito komiteto posėdžio,Audito komitetas
2025-03-12,Posėdžio darbotvarkės tvirtinimas,Audito komitetas
2025-03-12,Dėl Audito komiteto 2024 m. IX ir 2025 m. I (rudens) sesijos darbo ataskaitos tvirtinimo,Audito komitetas
2025-03-12,Dėl Audito komiteto 2025 m. II (pavasario) sesijos darbų plano projekto tvirtinimo,Audito komitetas
2025-03-12,Seimo nutarimo „Dėl Lietuvos Respublikos Seimo II (pavasario) sesijos darbų programos patvirtinimo“ projektas,Audito komitetas
2025-03-12,2024 m. lapkričio 12 d. valstybinio audito ataskaita Nr. ATA-2 „VšĮ CPO LT veikla vykdant viešuosius pirkimus“,Audito komitetas
2025-03-12,Kviečiami dalyvauti:,Audito komitetas
2025-03-12,"VšĮ CPO LT, Ekonomikos ir inovacijų ministerijos, Viešųjų pirkimų",Audito komitetas
2025-03-12,"tarnybos, Valstybės kontrolės atstovai",Audito komitetas
2025-03-12,Viešųjų pirkimų tarnybos informacijos apie viešųjų pirkimų centralizavimą pristatymas,Audito komitetas
2025-03-12,Kviečiami dalyvauti:,Audito komitetas
2025-03-12,"Viešųjų pirkimų tarnybos, Ekonomikos ir inovacijų ministerijos, VšĮ CPO",Audito komitetas
2025-03-12,"LT, Lietuvos savivaldybių asociacijos atstovai",Audito komitetas
2025-03-12,Kiti klausimai:,Audito komitetas
2025-03-12,1. Dėl Europos Audito Rūmų narės L. L. Andrikienės kvietimo Audito ir Europos reikalų komitetų narių delegacijai lankytis Europos Audito Rūmuose;,Audito komitetas
2025-03-12,2. Dėl Seimo nario R. Vyžinto prašymo pritarti jo dalyvavimui 150-ojoje Tarpparlamentinės sąjungos asamblėjoje ir susijusiuose renginiuose Taškente (Uzbekistano Respublika) 2025 m. balandžio 3-10 d.,Audito komitetas
2025-03-12,3. Dėl pasirengimo svarstyti Labdaros ir paramos įstatymo Nr. I-172 7 straipsnio 11 dalies pakeitimo įstatymo projektą Nr. XVP-110;,Audito komitetas
2025-03-12,4. Dėl kito komiteto posėdžio,Audito komitetas
