date,committee,question,project,responsible,attendees
2025-05-14,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-05-14,Socialinių reikalų ir darbo komitetas,"Užimtumo įstatymo Nr. XII-2470 1, 12, 16, 20, 22, 24, 28, 29, 30, 31, 36, 37, 38, 39-1, 40, 44, 46, 47, 48, 48-1 straipsnių ir priedo pakeitimo ir Įstatymo papildymo 39-2, 39-3 ir 48-2 straipsniais įstatymo Nr. XIV-1106 25 straipsnio pakeitimo įstatymo projektas",XII-2470; XIV-1106,D.  RazmislevičiusD.  UlbinaitėE.  Bulotaitė,
2025-05-14,Socialinių reikalų ir darbo komitetas,"Vyriausybės pateiktų įstatymų projektų, kuriais siūloma pertvarkyti  II pensijų kaupimo pakopą, pristatymas",,L.  KukuraitisD.  Jonėnienė,
2025-05-14,Socialinių reikalų ir darbo komitetas,Dėl asmenų su negalia socialinės integracijos sistemos pokyčių įgyvendinimo,,L.  KukuraitisD.  Aleksejūnienė,
2025-05-14,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,,
2025-05-14,Socialinių reikalų ir darbo komitetas,Papildomas (pasirengimas svarstymui),Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,
2025-05-14,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasirengimas svarstymui),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,
2025-05-14,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasirengimas svarstymui),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,
2025-05-14,Socialinių reikalų ir darbo komitetas,Pagrindinis (pasirengimas svarstymui),Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,
2025-05-14,Socialinių reikalų ir darbo komitetas,Papildomas (pasirengimas svarstymui),Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,
2025-05-14,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-05-07,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-05-07,Socialinių reikalų ir darbo komitetas,Paramos būstui įsigyti ar išsinuomoti įstatymo Nr. XII-1215 12 ir 13 straipsnių pakeitimo įstatymo projektas,XII-1215,L.  KukuraitisE.  RudelienėD.  Aleksejūnienė,
2025-05-07,Socialinių reikalų ir darbo komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio ir 36-4 straipsnio pakeitimo įstatymo projektas,I-1234,L.  KukuraitisP.  KuzmickienėA.  Kazlauskienė,
2025-05-07,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio pakeitimo įstatymo projektas,,
2025-05-07,Socialinių reikalų ir darbo komitetas,Papildomas (svarstymas),"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",,
2025-05-07,Socialinių reikalų ir darbo komitetas,Papildomas (svarstymas),Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,
2025-05-07,Socialinių reikalų ir darbo komitetas,Papildomas (svarstymas),Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,
2025-05-07,Socialinių reikalų ir darbo komitetas,Garantijų darbuotojams jų darbdaviui tapus nemokiam ir ilgalaikio darbo išmokų įstatymo Nr. XII-2604 9 straipsnio pakeitimo įstatymo projektas,XII-2604,,
2025-05-07,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-04-30,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-04-30,Socialinių reikalų ir darbo komitetas,"PASIŪLYMAS DĖL KOMISIJOS IR TARYBOS BENDROS UŽIMTUMO
ATASKAITOS","ES-2025-9, COM/2024/701",D.  Aleksejūnienė,
2025-04-30,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-04-23,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-04-23,Socialinių reikalų ir darbo komitetas,Socialinių paslaugų įstatymo Nr. X-493 pakeitimo įstatymo Nr. XIV-2357 6 straipsnio pakeitimo įstatymo projektas,X-493; XIV-2357,J.  ZailskienėE.  KirkutisD.  Aleksejūnienė,
2025-04-23,Socialinių reikalų ir darbo komitetas,"Valstybės kontrolės 2025-02-20 ataskaita Nr. VRE-2 „Valdžios sektoriaus finansų tvarumo 2025–2050 m. vertinimas""",VRE-2,D.  Jonėnienė,
2025-04-23,Socialinių reikalų ir darbo komitetas,Seimo kanceliarijos Teisės departamento veiklos pristatymas - susitikimas su Seimo Kanceliarijos Teisės departamento​ direktoriumi Dainiumi Zebleckiu,,,
2025-04-23,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-04-16,Socialinių reikalų ir darbo komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio ir 36-4 straipsnio pakeitimo įstatymo projektas,I-1234,L.  KukuraitisP.  KuzmickienėA.  Kazlauskienė,
2025-04-16,Socialinių reikalų ir darbo komitetas,Pagrindinis (klausymai),Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio pakeitimo įstatymo projektas,,
2025-04-16,Socialinių reikalų ir darbo komitetas,Papildomas (klausymai),"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",,
2025-04-16,Socialinių reikalų ir darbo komitetas,Papildomas (klausymai),Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,
2025-04-16,Socialinių reikalų ir darbo komitetas,Papildomas (klausymai),Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,
2025-04-16,Socialinių reikalų ir darbo komitetas,"Mokslo ir studijų įstatymo Nr. XI-242 8, 72 straipsnių pakeitimo įstatymo projektas",XI-242,,
2025-04-16,Socialinių reikalų ir darbo komitetas,Papildomas (pasirengimas svarstymui),Darbo kodekso 57 straipsnio pakeitimo įstatymo projektas,,
2025-04-16,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-04-02,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,J.  RojakaL.  KukuraitisV.  Aleknavičienė,
2025-04-02,Socialinių reikalų ir darbo komitetas,"Dėl vaikų saugumo socialiniuose tinkluose Kviečiami dalyvauti: Kviečiami dalyvauti: Švietimo, mokslo ir sporto ministerijos, Socialinės apsaugos ir darbo ministerijos, Nacionalinio krizių valdymo centro, Policijos departamentas prie Vidaus reikalų ministerijos, Generalinės prokuratūros, Vaiko teisių apsaugos kontrolieriaus įstaigos, Valstybės vaiko teisių ir įvaikinimo tarnyba prie Socialinės apsaugos ir darbo ministerijos, Nacionalinės švietimo agentūros, Lietuvos psichologų sąjungos, Vaikų ir jaunimo psichologų asociacijos, Lietuvos psichiatrų asociacijos, viešosios įstaigos „Vaikų linija“, Lietuvos moksleivių sąjungos, Lietuvos socialinio ir emocinio ugdymo instituto, Nacionalinės švietimo agentūros, Lietuvos neformaliojo švietimo agentūros,  asociacijos „Langas į ateitį”, Ryšių reguliavimo tarnybos, viešosios įstaigos „Skaitmeninės etikos centras“ atstovai​",,J.  RojakaL.  KukuraitisV.  AleknavičienėJ.  Krumplytė-OženkoA.  KazlauskienėL.  Vingrytė,
2025-04-02,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,J.  RojakaL.  KukuraitisV.  AleknavičienėJ.  Krumplytė-OženkoA.  KazlauskienėL.  Vingrytė,
