date,committee,question,project,responsible,attendees
2025-06-04,Europos reikalų komitetas,Finansų ministras Rimantas Šadžius,XVP-453,R.  BaranovasI.  ŠimonytėA.  Pikiotienė,
2025-06-04,Europos reikalų komitetas,Valstybės kontrolės atstovai​,XVP-453,R.  BaranovasI.  ŠimonytėA.  Pikiotienė,
2025-06-04,Europos reikalų komitetas,2021-2027 m. ES fondų investicijų programos prioriteto „Socialiai atsakingesnė Lietuva“ įgyvendinimas,,T.  TomilinasV.  ĄžuolasA.  Pikiotienė,
2025-06-04,Europos reikalų komitetas,2021-2027 m. ES fondų investicijų programos prioriteto „Socialiai atsakingesnė Lietuva“ įgyvendinimas,,T.  TomilinasV.  ĄžuolasA.  Pikiotienė,
2025-06-04,Europos reikalų komitetas,Socialinės apsaugos ir darbo ministrė Inga Ruginienė,,T.  TomilinasV.  ĄžuolasA.  Pikiotienė,
2025-06-04,Europos reikalų komitetas,Socialinės apsaugos ir darbo ministrė Inga Ruginienė,,T.  TomilinasV.  ĄžuolasA.  Pikiotienė,
2025-06-04,Europos reikalų komitetas,BŽŪP įgyvendinimas ir ateitis po 2027 m.,,M.  GedvilasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-06-04,Europos reikalų komitetas,BŽŪP įgyvendinimas ir ateitis po 2027 m.,,M.  GedvilasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-06-04,Europos reikalų komitetas,Žemės ūkio ministras Ignas Hofmanas,,M.  GedvilasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-06-04,Europos reikalų komitetas,Žemės ūkio ministras Ignas Hofmanas,,M.  GedvilasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-06-04,Europos reikalų komitetas,Kiti klausimai,,R.  BudbergytėD.  Asevičienė,
2025-05-28,Europos reikalų komitetas,Kiti klausimai,,R.  BudbergytėD.  Asevičienė,
2025-05-28,Europos reikalų komitetas,"Lietuvos Respublikos pozicijų pristatymas prieš vykstant į Europos Sąjungos Transporto, telekomunikacijų, energetikos tarybos 2025 m. birželio 5–6 d. posėdį (transporto, telekomunikacijų kl.)  (",,R.  ŠukysD.  KreivysE.  Kolelė,
2025-05-28,Europos reikalų komitetas,Susisiekimo ministras Eugenijus Sabutis,,R.  ŠukysD.  KreivysE.  Kolelė,
2025-05-28,Europos reikalų komitetas,Ekonomikos ir inovacijų ministerijos atstovai,,R.  ŠukysD.  KreivysE.  Kolelė,
2025-05-28,Europos reikalų komitetas,Krašto apsaugos ministerijos atstovai​,,R.  ŠukysD.  KreivysE.  Kolelė,
2025-05-28,Europos reikalų komitetas,"Ministro ataskaita apie Europos Sąjungos Konkurencingumo tarybos posėdį,  vykusį 2025 m. gegužės 22–23 d. (vidaus rinkos, pramonės, mokslinių tyrimų ir kosmoso klausimai)  (",,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-28,Europos reikalų komitetas,Ekonomikos ir inovacijų ministras Lukas Savickas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-28,Europos reikalų komitetas,"Švietimo, mokslo ir sporto ministrė Raminta Popovienė ​",,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-28,Europos reikalų komitetas,"Ministro ataskaita apie Europos Sąjungos Žemės ūkio ir žuvininkystės tarybos posėdį, vykusį 2025 m. gegužės 26 d.  (",,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-28,Europos reikalų komitetas,Žemės ūkio ministras Ignas Hofmanas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-28,Europos reikalų komitetas,Žemės ūkio ministras Ignas Hofmanas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-28,Europos reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,R.  BudbergytėD.  Asevičienė,
2025-05-28,Europos reikalų komitetas,"Ministro ataskaita apie  Europos Sąjungos Bendrųjų reikalų tarybos posėdį, vykusį 2025 m. balandžio 27 d. (",,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-28,Europos reikalų komitetas,Užsienio reikalų ministras Kęstutis Budrys,,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-28,Europos reikalų komitetas,Užsienio reikalų ministras Kęstutis Budrys,,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-21,Europos reikalų komitetas,Kiti klausimai,,R.  BudbergytėD.  Asevičienė,
2025-05-21,Europos reikalų komitetas,2021-2027 m. ES fondų investicijų programos įgyvendinimas,,L.  BalsysD.  KreivysA.  Pikiotienė,
2025-05-21,Europos reikalų komitetas,2021-2027 m. ES fondų investicijų programos įgyvendinimas,,L.  BalsysD.  KreivysA.  Pikiotienė,
2025-05-21,Europos reikalų komitetas,Finansų ministras Rimantas Šadžius,,L.  BalsysD.  KreivysA.  Pikiotienė,
2025-05-21,Europos reikalų komitetas,Finansų ministras Rimantas Šadžius,,L.  BalsysD.  KreivysA.  Pikiotienė,
2025-05-21,Europos reikalų komitetas,Lietuvos Respublikos pozicijų pristatymas prieš vykstant į Europos Sąjungos Žemės ūkio ir žuvininkystės tarybos 2025 m. gegužės 26 d. posėdį  (,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-21,Europos reikalų komitetas,Žemės ūkio ministras Ignas Hofmanas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-21,Europos reikalų komitetas,Žemės ūkio ministras Ignas Hofmanas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-21,Europos reikalų komitetas,"Lietuvos Respublikos pozicijų pristatymas prieš vykstant į Europos Sąjungos Konkurencingumo tarybos 2025 m. gegužės 22–23 d. posėdį (vidaus rinkos, pramonės, mokslinių tyrimų ir kosmoso klausimai) (",,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-21,Europos reikalų komitetas,Ekonomikos ir inovacijų ministras Lukas Savickas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-21,Europos reikalų komitetas,"Švietimo, mokslo ir sporto ministrė Raminta Popovienė ​",,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-21,Europos reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,R.  BudbergytėD.  Asevičienė,
2025-05-21,Europos reikalų komitetas,Lietuvos Respublikos pozicijų pristatymas prieš vykstant į  Europos Sąjungos Bendrųjų reikalų tarybos 2025 m. gegužės 27 d. posėdį (,,R.  MotuzasV.  Čmilytė-NielsenM.  Lukoševičius,
2025-05-21,Europos reikalų komitetas,Užsienio reikalų ministras Kęstutis Budrys,,R.  MotuzasV.  Čmilytė-NielsenM.  Lukoševičius,
2025-05-21,Europos reikalų komitetas,Užsienio reikalų ministras Kęstutis Budrys,,R.  MotuzasV.  Čmilytė-NielsenM.  Lukoševičius,
2025-05-21,Europos reikalų komitetas,Būsima vidaus rinkos strategija ir ES konkurencingumo didinimas  (,,R.  BaranovasI.  ŠimonytėT.  TomilinasL.  BalsysJ.  ŠukevičienėV.  Čmilytė-NielsenR.  Morkūnaitė-MikulėnienėV.  ĄžuolasK.  NeimantasE.  ZingerisA.  AžubalisM.  Lukoševičius,
2025-05-21,Europos reikalų komitetas,Finansų viceministras Kristupas Vaitiekunas,,R.  BaranovasI.  ŠimonytėT.  TomilinasL.  BalsysJ.  ŠukevičienėV.  Čmilytė-NielsenR.  Morkūnaitė-MikulėnienėV.  ĄžuolasK.  NeimantasE.  ZingerisA.  AžubalisM.  Lukoševičius,
2025-05-21,Europos reikalų komitetas,Ekonomikos ir inovacijų viceministrė Agila Barzdienė​,,R.  BaranovasI.  ŠimonytėT.  TomilinasL.  BalsysJ.  ŠukevičienėV.  Čmilytė-NielsenR.  Morkūnaitė-MikulėnienėV.  ĄžuolasK.  NeimantasE.  ZingerisA.  AžubalisM.  Lukoševičius,
2025-05-21,Europos reikalų komitetas,Kiti klausimai,,R.  BaranovasM.  Lukoševičius,
2025-05-14,Europos reikalų komitetas,Kiti klausimai,,R.  BudbergytėD.  Asevičienė,
